category,title,packsize,price,price_per_unit,image
pantry/just-organic/,Just Organic Penne Pasta 500g,N/A,1.5899999999999999,32c per 100g,https://www.aldi.com.au/fileadmin/_processed_/0/7/csm_ALN2460_Q3_WEB_AUDIT_Just_Organic__1x1_228x128_5_8820d95ba9.jpg
pantry/just-organic/,Just Organic Baked Beans in Tomato Sauce 420g,N/A,95.0c,23c per 100g,https://www.aldi.com.au/fileadmin/_processed_/7/f/csm_ALN2745_Q2_WEB_AUDIT__JUST-ORGANIC__1x1_228x128_2_51595ce338.jpg
pantry/gluten-free/,Gluten Free Penne 500g,N/A,2.29,46c per 100g,https://www.aldi.com.au/fileadmin/_processed_/6/b/csm_ALN2147_Q4_GLUTEN-FREE_1x1_228x128_4_c0a7d00059.jpg
pantry/gluten-free/,Gluten Free Spirals 500g,N/A,2.29,46c per 100g,https://www.aldi.com.au/fileadmin/_processed_/6/0/csm_ALN3077_GLUTEN-FREE_1x1_228x128__7ce49aa2e0.jpg
pantry/gluten-free/,Gluten Free Corn Flakes 375g,N/A,2.99,80c per 100g,https://www.aldi.com.au/fileadmin/_processed_/5/4/csm_ALN1075_1x1_GF_228x128__9e8add9131.jpg
pantry/coffee/,Expressi Organic,16pk,5.99,37c per capsule,https://www.aldi.com.au/fileadmin/_processed_/9/9/csm_ALN2853_EXPRESSI_COFFEE_1x1_228x128_2_5c3430b56b.jpg
pantry/coffee/,Expressi Calabrese,16pk,5.99,37c per capsule,https://www.aldi.com.au/fileadmin/_processed_/3/2/csm_ALN2853_EXPRESSI_COFFEE_1x1_228x128_3_c2752b84ae.jpg
pantry/coffee/,Expressi Abruzzo,16pk,5.99,37c per capsule,https://www.aldi.com.au/fileadmin/_processed_/9/b/csm_ALN2853_EXPRESSI_COFFEE_1x1_228x128_4_d0ff45e335.jpg
pantry/just-organic/,Just Organic Quinoa – White or Tricolour 500g,N/A,6.49,$1.00 per 100g,https://www.aldi.com.au/fileadmin/_processed_/f/0/csm_ALN2670_Q1_WEB_AUDIT__JUST_ORGANIC__1x1_228x128__06fd270707.jpg
pantry/just-organic/,Just Organic Green Tea 50pk/75g,N/A,2.49,$3.32 per 100g,https://www.aldi.com.au/fileadmin/_processed_/b/c/csm_ALN2460_Q3_WEB_AUDIT_Just_Organic__1x1_228x128_2_1c4b59e61c.jpg
pantry/just-organic/,Just Organic Rooibos Tea 50pk/80g,N/A,2.49,$3.11 per 100g,https://www.aldi.com.au/fileadmin/_processed_/d/9/csm_ALN2460_Q3_WEB_AUDIT_Just_Organic__1x1_228x128_3_f01fe6955f.jpg
pantry/just-organic/,Just Organic Black Tea 50pk/100g,N/A,2.49,$2.49 per 100g,https://www.aldi.com.au/fileadmin/_processed_/f/e/csm_ALN2460_Q3_WEB_AUDIT_Just_Organic__1x1_228x128_4_18d9d12601.jpg
pantry/just-organic/,Organic Kombucha – Ginger & Lemon 330ml,N/A,2.49,$6.03 per litre,https://www.aldi.com.au/fileadmin/_processed_/3/9/csm_ALN2230_Q1_ORGANIC_1x1_228x128_7_f1030b5e05.jpg
pantry/gluten-free/,Gluten Free Cocoa Puffs 475g,N/A,2.99,63c per 100g,https://www.aldi.com.au/fileadmin/_processed_/b/3/csm_ALN1075_1x1_GF_228x128_2_150eb74508.jpg
pantry/gluten-free/,Gluten Free Plain Flour 500g,N/A,2.29,$4.58 per kg,https://www.aldi.com.au/fileadmin/_processed_/7/6/csm_ALN2147_Q4_GLUTEN-FREE_1x1_228x128_5_f6210b29c2.jpg
pantry/gluten-free/,Gluten Free Self Raising Flour 500g,N/A,2.29,$4.58 per kg,https://www.aldi.com.au/fileadmin/_processed_/1/8/csm_ALN2147_Q4_GLUTEN-FREE_1x1_228x128_6_a60df0943b.jpg
pantry/gluten-free/,Gluten Free Spaghetti 500g,N/A,2.29,46c per 100g,https://www.aldi.com.au/fileadmin/_processed_/f/a/csm_ALN2147_Q4_GLUTEN-FREE_1x1_228x128_3_2c8abe4d74.jpg
pantry/gluten-free/,Has No Gluten Free Biscuits 180g,ea,2.79,$1.55 per 100g,https://www.aldi.com.au/fileadmin/_processed_/7/0/csm_ALN2805-1_SS_1x1_228x128_SEPTEMBER_10_38e0ccad49.jpg
pantry/coffee/,Expressi La Spezia,16pk,5.99,37c per capsule,https://www.aldi.com.au/fileadmin/_processed_/e/1/csm_ALN2853_EXPRESSI_COFFEE_1x1_228x128_5_d0eb83dd77.jpg
pantry/coffee/,Expressi Torino,16pk,5.99,37c per capsule,https://www.aldi.com.au/fileadmin/_processed_/b/9/csm_ALN2853_EXPRESSI_COFFEE_1x1_228x128_6_b69b12b766.jpg
pantry/coffee/,Expressi Milano,16pk,5.99,37c per capsule,https://www.aldi.com.au/fileadmin/_processed_/b/b/csm_ALN2853_EXPRESSI_COFFEE_1x1_228x128_7_75f08ce36c.jpg
pantry/coffee/,Expressi Reggio,16pk,5.99,37c per capsule,https://www.aldi.com.au/fileadmin/_processed_/0/5/csm_ALN2853_EXPRESSI_COFFEE_1x1_228x128_8_18bb2d058a.jpg
pantry/coffee/,Expressi Renzo,16pk,5.99,37c per capsule,https://www.aldi.com.au/fileadmin/_processed_/5/9/csm_ALN2853_EXPRESSI_COFFEE_1x1_228x128_9_f507d53211.jpg
pantry/chocolate/,Choceur Caramel Filled Milk Chocolate Block 200g,N/A,2.99,$1.50 per 100g,https://www.aldi.com.au/fileadmin/_processed_/6/a/csm_ALN2460_Q3_WEB_AUDIT_Chocolate__1x1_228x128_3_e67dcf7a07.jpg
pantry/chocolate/,Choceur Milk & White Chocolate Block 200g,N/A,2.99,$1.50 per 100g,https://www.aldi.com.au/fileadmin/_processed_/c/8/csm_ALN2460_Q3_WEB_AUDIT_Chocolate__1x1_228x128_4_78dbbba64b.jpg
